date_year,samplesizeunit,class,scientificname,institutioncode,shoredistance,flags,maximumdepthinmeters,date_start,minimumdepthinmeters,subclass,basisofrecord,sss,sex,sst,family,kingdom,occurrenceid,bathymetry,date_end,species,genus,waterbody,vernacularname,id_node,name,lon,lat,city,country
1916,desconocido,Hydrozoa,Neoturris pileata,Observatoire Océanologique de Villefranche sur Mer,356,sin observaciones,0.0,1916-04-01,0.0,Hydroidolina,HumanObservation,38.11,,18.48,Pandeidae,Animalia,OBSVLFR_HistoricalPointB_Surf-18567,56.0,1916-04-30,Neoturris pileata,Neoturris,,Pileata jellyfish,1ad35eb9-c615-4733-864a-b585aebcfb70,MedOBIS,25.275605,35.3251232,Gouves Municipal Unit,Greece
2016,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2016-04-20,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,792574,51.0,2016-04-20,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2012,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2012-12-12,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,523430,51.0,2012-12-12,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2002,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2002-06-24,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,584779,51.0,2002-06-24,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2008,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2008-09-03,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,246370,51.0,2008-09-03,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
1911,desconocido,Hydrozoa,Neoturris pileata,Observatoire Océanologique de Villefranche sur Mer,356,sin observaciones,0.0,1911-04-01,0.0,Hydroidolina,HumanObservation,38.11,,18.48,Pandeidae,Animalia,OBSVLFR_HistoricalPointB_Surf-18518,56.0,1911-04-30,Neoturris pileata,Neoturris,,Pileata jellyfish,1ad35eb9-c615-4733-864a-b585aebcfb70,MedOBIS,25.275605,35.3251232,Gouves Municipal Unit,Greece
2004,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2004-08-03,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,18785,51.0,2004-08-03,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2018,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2018-03-21,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,911314,51.0,2018-03-21,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2004,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2004-02-12,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,1045886,51.0,2004-02-12,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2001,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2001-05-31,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,1026096,51.0,2001-05-31,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2006,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2006-09-06,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,141483,51.0,2006-09-06,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2017,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2017-06-28,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,861839,51.0,2017-06-28,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2012,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2012-05-22,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,469997,51.0,2012-05-22,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2017,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2017-05-31,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,859860,51.0,2017-05-31,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2007,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2007-07-03,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,204811,51.0,2007-07-03,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2013,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2013-03-26,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,551136,51.0,2013-03-26,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2018,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2018-08-29,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,956831,51.0,2018-08-29,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2013,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2013-03-20,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,547178,51.0,2013-03-20,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2002,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2002-08-12,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,802469,51.0,2002-08-12,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2007,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2007-04-30,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,190958,51.0,2007-04-30,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2015,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2015-02-11,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,715393,51.0,2015-02-11,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2001,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2001-04-30,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,650086,51.0,2001-04-30,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2018,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2018-04-25,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,923188,51.0,2018-04-25,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
1896,desconocido,Hydrozoa,Neoturris pileata,RBINS-Scientific Heritage,245856,['NO_DEPTH'],,1800-01-01,,Hydroidolina,PreservedSpecimen,38.57,unknown,21.21,Pandeidae,Animalia,http://collections.naturalsciences.be/specimen/498941,2989.0,1992-02-03,Neoturris pileata,Neoturris,,Pileata jellyfish,4bf79a01-65a9-4db6-b37b-18434f26ddfc,EurOBIS,2.9294803,51.2332828,Ostend,Belgium
2003,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2003-09-24,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,1028075,51.0,2003-09-24,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2004,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2004-03-01,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,1053802,51.0,2004-03-01,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2006,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2006-04-03,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,101903,51.0,2006-04-03,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2001,desconocido,Hydrozoa,Neoturris pileata,sin datos,330816,sin observaciones,3952.0,2001-01-09,3952.0,Hydroidolina,HumanObservation,34.28,,26.39,Pandeidae,Animalia,Ifremer_bio_dba_85516,4067.0,2001-01-09,Neoturris pileata,Neoturris,,Pileata jellyfish,4bf79a01-65a9-4db6-b37b-18434f26ddfc,EurOBIS,2.9294803,51.2332828,Ostend,Belgium
2009,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2009-10-15,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,321572,51.0,2009-10-15,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
1901,desconocido,Hydrozoa,Neoturris pileata,Observatoire Océanologique de Villefranche sur Mer,356,sin observaciones,0.0,1901-06-01,0.0,Hydroidolina,HumanObservation,38.11,,18.48,Pandeidae,Animalia,OBSVLFR_HistoricalPointB_Surf-18402,56.0,1901-06-30,Neoturris pileata,Neoturris,,Pileata jellyfish,1ad35eb9-c615-4733-864a-b585aebcfb70,MedOBIS,25.275605,35.3251232,Gouves Municipal Unit,Greece
2012,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2012-01-24,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,436354,51.0,2012-01-24,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2012,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2012-10-31,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,511556,51.0,2012-10-31,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2009,desconocido,Hydrozoa,Neoturris pileata,DASSH,128,sin observaciones,18.0,2009-07-09,5.0,Hydroidolina,MaterialSample,35.05,,12.95,Pandeidae,Animalia,MRLRC00300002982,45.0,2009-07-09,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2013,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2013-08-20,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,592695,51.0,2013-08-20,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2016,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2016-05-04,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,796532,51.0,2016-05-04,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2011,desconocido,Hydrozoa,Neoturris pileata,DASSH,166,sin observaciones,26.0,2011-07-03,,Hydroidolina,MaterialSample,35.02,,12.0,Pandeidae,Animalia,MRMCS0050000A5CF,22.8,2011-07-03,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2011,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2011-03-21,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,396774,51.0,2011-03-21,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2013,desconocido,Hydrozoa,Neoturris pileata,DASSH,698,sin observaciones,40.0,2013-06-29,16.0,Hydroidolina,MaterialSample,34.79,,12.88,Pandeidae,Animalia,MRMCS01500008D68,42.0,2013-06-29,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2011,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2011-04-12,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,400732,51.0,2011-04-12,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2011,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2011-05-25,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,408648,51.0,2011-05-25,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2012,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2012-10-24,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,509577,51.0,2012-10-24,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
1908,desconocido,Hydrozoa,Neoturris pileata,Observatoire Océanologique de Villefranche sur Mer,356,sin observaciones,0.0,1908-03-01,0.0,Hydroidolina,HumanObservation,38.11,,18.48,Pandeidae,Animalia,OBSVLFR_HistoricalPointB_Surf-18481,56.0,1908-03-31,Neoturris pileata,Neoturris,,Pileata jellyfish,1ad35eb9-c615-4733-864a-b585aebcfb70,MedOBIS,25.275605,35.3251232,Gouves Municipal Unit,Greece
2016,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2016-02-17,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,782679,51.0,2016-02-17,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2006,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2006-04-11,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,103882,51.0,2006-04-11,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2012,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2012-09-19,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,501661,51.0,2012-09-19,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2008,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2008-07-15,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,242412,51.0,2008-07-15,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2007,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2007-03-26,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,183042,51.0,2007-03-26,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2014,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2014-09-03,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,681750,51.0,2014-09-03,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
1822,desconocido,Hydrozoa,Neoturris pileata,RBINS-Scientific Heritage,6970,['NO_DEPTH'],,1822-01-01,,Hydroidolina,PreservedSpecimen,37.91,unknown,19.96,Pandeidae,Animalia,http://collections.naturalsciences.be/specimen/477768,1062.6,1822-12-31,Neoturris pileata,Neoturris,,Pileata jellyfish,4bf79a01-65a9-4db6-b37b-18434f26ddfc,EurOBIS,2.9294803,51.2332828,Ostend,Belgium
1899,desconocido,Hydrozoa,Neoturris pileata,Observatoire Océanologique de Villefranche sur Mer,356,sin observaciones,0.0,1899-04-01,0.0,Hydroidolina,HumanObservation,38.11,,18.48,Pandeidae,Animalia,OBSVLFR_HistoricalPointB_Surf-18376,56.0,1899-04-30,Neoturris pileata,Neoturris,,Pileata jellyfish,1ad35eb9-c615-4733-864a-b585aebcfb70,MedOBIS,25.275605,35.3251232,Gouves Municipal Unit,Greece
2015,desconocido,Hydrozoa,Neoturris pileata,sin datos,14,['NO_DEPTH'],,2015-06-30,,Hydroidolina,HumanObservation,33.43,,12.53,Pandeidae,Animalia,0e7b5363-6ea4-4542-8566-4916b46ec235,-2.0,2015-06-30,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2015,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2015-09-23,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,756952,51.0,2015-09-23,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2009,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2009-06-09,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,297824,51.0,2009-06-09,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2002,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2002-11-04,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,966726,51.0,2002-11-04,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
